YR_M,Bronx Precinct,BRONX_precinct_Crime_Cnt
2012-01,40.0,1063
2012-01,41.0,632
2012-01,42.0,747
2012-01,43.0,1082
2012-01,44.0,1210
2012-01,45.0,436
2012-01,46.0,839
2012-01,47.0,724
2012-01,48.0,653
2012-01,49.0,619
2012-01,50.0,338
2012-01,52.0,891
2012-02,40.0,936
2012-02,41.0,560
2012-02,42.0,623
2012-02,43.0,1085
2012-02,44.0,1081
2012-02,45.0,452
2012-02,46.0,849
2012-02,47.0,673
2012-02,48.0,576
2012-02,49.0,551
2012-02,50.0,336
2012-02,52.0,934
2012-03,40.0,1043
2012-03,41.0,564
2012-03,42.0,682
2012-03,43.0,1229
2012-03,44.0,1199
2012-03,45.0,449
2012-03,46.0,877
2012-03,47.0,715
2012-03,48.0,621
2012-03,49.0,530
2012-03,50.0,367
2012-03,52.0,920
2012-04,40.0,1007
2012-04,41.0,529
2012-04,42.0,614
2012-04,43.0,1156
2012-04,44.0,1091
2012-04,45.0,432
2012-04,46.0,890
2012-04,47.0,822
2012-04,48.0,594
2012-04,49.0,531
2012-04,50.0,316
2012-04,52.0,881
2012-05,25.0,1
2012-05,40.0,1052
2012-05,41.0,638
2012-05,42.0,676
2012-05,43.0,1235
2012-05,44.0,1173
2012-05,45.0,476
2012-05,46.0,912
2012-05,47.0,811
2012-05,48.0,665
2012-05,49.0,539
2012-05,50.0,371
2012-05,52.0,956
2012-06,40.0,925
2012-06,41.0,628
2012-06,42.0,657
2012-06,43.0,1080
2012-06,44.0,1030
2012-06,45.0,518
2012-06,46.0,791
2012-06,47.0,794
2012-06,48.0,612
2012-06,49.0,522
2012-06,50.0,361
2012-06,52.0,927
2012-07,40.0,971
2012-07,41.0,607
2012-07,42.0,715
2012-07,43.0,1115
2012-07,44.0,1087
2012-07,45.0,568
2012-07,46.0,887
2012-07,47.0,799
2012-07,48.0,718
2012-07,49.0,592
2012-07,50.0,361
2012-07,52.0,850
2012-08,40.0,1080
2012-08,41.0,617
2012-08,42.0,660
2012-08,43.0,1223
2012-08,44.0,1079
2012-08,45.0,499
2012-08,46.0,873
2012-08,47.0,877
2012-08,48.0,765
2012-08,49.0,639
2012-08,50.0,408
2012-08,52.0,1024
2012-09,40.0,1037
2012-09,41.0,569
2012-09,42.0,609
2012-09,43.0,1081
2012-09,44.0,1028
2012-09,45.0,611
2012-09,46.0,809
2012-09,47.0,715
2012-09,48.0,730
2012-09,49.0,556
2012-09,50.0,426
2012-09,52.0,908
2012-10,40.0,954
2012-10,41.0,562
2012-10,42.0,577
2012-10,43.0,1058
2012-10,44.0,1105
2012-10,45.0,489
2012-10,46.0,766
2012-10,47.0,794
2012-10,48.0,667
2012-10,49.0,585
2012-10,50.0,392
2012-10,52.0,892
2012-11,40.0,850
2012-11,41.0,545
2012-11,42.0,500
2012-11,43.0,917
2012-11,44.0,866
2012-11,45.0,415
2012-11,46.0,638
2012-11,47.0,696
2012-11,48.0,632
2012-11,49.0,442
2012-11,50.0,343
2012-11,52.0,750
2012-12,40.0,881
2012-12,41.0,594
2012-12,42.0,548
2012-12,43.0,974
2012-12,44.0,907
2012-12,45.0,457
2012-12,46.0,690
2012-12,47.0,760
2012-12,48.0,640
2012-12,49.0,499
2012-12,50.0,355
2012-12,52.0,826
2013-01,40.0,943
2013-01,41.0,540
2013-01,42.0,585
2013-01,43.0,964
2013-01,44.0,1051
2013-01,45.0,496
2013-01,46.0,767
2013-01,47.0,709
2013-01,48.0,683
2013-01,49.0,496
2013-01,50.0,338
2013-01,52.0,856
2013-02,40.0,830
2013-02,41.0,532
2013-02,42.0,434
2013-02,43.0,861
2013-02,44.0,909
2013-02,45.0,362
2013-02,46.0,621
2013-02,47.0,624
2013-02,48.0,569
2013-02,49.0,468
2013-02,50.0,277
