YR_M,Brooklyn Precinct,BROOKLYN_precinct_Crime_Cnt
2012-01,60.0,521
2012-01,61.0,473
2012-01,62.0,487
2012-01,63.0,431
2012-01,66.0,474
2012-01,67.0,755
2012-01,68.0,387
2012-01,69.0,451
2012-01,70.0,664
2012-01,71.0,596
2012-01,72.0,439
2012-01,73.0,1036
2012-01,75.0,1381
2012-01,76.0,202
2012-01,77.0,655
2012-01,78.0,223
2012-01,79.0,680
2012-01,81.0,528
2012-01,83.0,564
2012-01,84.0,395
2012-01,88.0,435
2012-01,90.0,566
2012-01,94.0,286
2012-02,60.0,511
2012-02,61.0,411
2012-02,62.0,454
2012-02,63.0,458
2012-02,66.0,396
2012-02,67.0,743
2012-02,68.0,428
2012-02,69.0,359
2012-02,70.0,624
2012-02,71.0,520
2012-02,72.0,376
2012-02,73.0,964
2012-02,75.0,1217
2012-02,76.0,212
2012-02,77.0,563
2012-02,78.0,221
2012-02,79.0,633
2012-02,81.0,537
2012-02,83.0,521
2012-02,84.0,378
2012-02,88.0,325
2012-02,90.0,503
2012-02,94.0,285
2012-03,60.0,584
2012-03,61.0,545
2012-03,62.0,499
2012-03,63.0,500
2012-03,66.0,418
2012-03,67.0,770
2012-03,68.0,428
2012-03,69.0,472
2012-03,70.0,688
2012-03,71.0,568
2012-03,72.0,438
2012-03,73.0,1096
2012-03,75.0,1417
2012-03,76.0,276
2012-03,77.0,690
2012-03,78.0,295
2012-03,79.0,673
2012-03,81.0,541
2012-03,83.0,628
2012-03,84.0,422
2012-03,88.0,426
2012-03,90.0,517
2012-03,94.0,291
2012-04,60.0,459
2012-04,61.0,507
2012-04,62.0,453
2012-04,63.0,423
2012-04,66.0,371
2012-04,67.0,742
2012-04,68.0,445
2012-04,69.0,489
2012-04,70.0,680
2012-04,71.0,544
2012-04,72.0,450
2012-04,73.0,961
2012-04,75.0,1408
2012-04,76.0,263
2012-04,77.0,654
2012-04,78.0,220
2012-04,79.0,705
2012-04,81.0,582
2012-04,83.0,591
