YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2012-01,1.0,473
2012-01,5.0,371
2012-01,6.0,465
2012-01,7.0,354
2012-01,9.0,525
2012-01,10.0,344
2012-01,13.0,571
2012-01,14.0,904
2012-01,17.0,257
2012-01,18.0,652
2012-01,19.0,514
2012-01,20.0,317
2012-01,22.0,23
2012-01,23.0,522
2012-01,24.0,368
2012-01,25.0,617
2012-01,26.0,283
2012-01,28.0,449
2012-01,30.0,440
2012-01,32.0,590
2012-01,33.0,308
2012-01,34.0,437
2012-02,1.0,478
2012-02,5.0,380
2012-02,6.0,432
2012-02,7.0,310
2012-02,9.0,464
2012-02,10.0,316
2012-02,13.0,539
2012-02,14.0,872
2012-02,17.0,258
2012-02,18.0,559
2012-02,19.0,486
2012-02,20.0,256
2012-02,22.0,19
2012-02,23.0,453
2012-02,24.0,358
2012-02,25.0,518
2012-02,26.0,268
2012-02,28.0,421
2012-02,30.0,392
2012-02,32.0,578
2012-02,33.0,368
2012-02,34.0,456
2012-03,1.0,566
2012-03,5.0,401
2012-03,6.0,483
2012-03,7.0,374
2012-03,9.0,574
2012-03,10.0,364
2012-03,13.0,645
2012-03,14.0,939
2012-03,17.0,285
2012-03,18.0,617
2012-03,19.0,513
2012-03,20.0,331
2012-03,22.0,49
2012-03,23.0,533
2012-03,24.0,431
2012-03,25.0,580
2012-03,26.0,333
2012-03,28.0,503
2012-03,30.0,413
2012-03,32.0,685
2012-03,33.0,340
2012-03,34.0,430
2012-04,1.0,512
2012-04,5.0,412
2012-04,6.0,457
2012-04,7.0,391
2012-04,9.0,555
2012-04,10.0,381
2012-04,13.0,630
2012-04,14.0,936
2012-04,17.0,274
2012-04,18.0,600
2012-04,19.0,506
2012-04,20.0,325
2012-04,22.0,38
2012-04,23.0,492
2012-04,24.0,419
2012-04,25.0,582
2012-04,26.0,287
2012-04,28.0,417
2012-04,30.0,378
2012-04,32.0,538
2012-04,33.0,367
2012-04,34.0,467
2012-05,1.0,585
2012-05,5.0,429
2012-05,6.0,496
2012-05,7.0,343
2012-05,9.0,532
2012-05,10.0,381
2012-05,13.0,662
2012-05,14.0,919
2012-05,17.0,265
