YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2012-01,100.0,197
2012-01,101.0,263
2012-01,102.0,532
2012-01,103.0,605
2012-01,104.0,1026
2012-01,105.0,578
2012-01,106.0,477
2012-01,107.0,376
2012-01,108.0,430
2012-01,109.0,683
2012-01,110.0,531
2012-01,111.0,257
2012-01,112.0,296
2012-01,113.0,714
2012-01,114.0,766
2012-01,115.0,643
2012-02,100.0,197
2012-02,101.0,254
2012-02,102.0,469
2012-02,103.0,583
2012-02,104.0,694
2012-02,105.0,556
2012-02,106.0,448
2012-02,107.0,370
2012-02,108.0,421
2012-02,109.0,621
2012-02,110.0,502
2012-02,111.0,228
2012-02,112.0,277
2012-02,113.0,728
2012-02,114.0,745
2012-02,115.0,640
2012-03,100.0,202
2012-03,101.0,299
2012-03,102.0,475
2012-03,103.0,647
2012-03,104.0,741
2012-03,105.0,567
2012-03,106.0,562
2012-03,107.0,456
2012-03,108.0,388
2012-03,109.0,676
2012-03,110.0,530
2012-03,111.0,249
2012-03,112.0,321
2012-03,113.0,722
2012-03,114.0,800
2012-03,115.0,623
2012-04,100.0,221
2012-04,101.0,340
2012-04,102.0,464
2012-04,103.0,619
2012-04,104.0,682
2012-04,105.0,597
2012-04,106.0,454
2012-04,107.0,424
2012-04,108.0,413
2012-04,109.0,633
2012-04,110.0,532
2012-04,111.0,278
2012-04,112.0,283
2012-04,113.0,815
2012-04,114.0,743
2012-04,115.0,647
2012-05,100.0,239
2012-05,101.0,408
2012-05,102.0,540
2012-05,103.0,721
2012-05,104.0,760
2012-05,105.0,655
2012-05,106.0,561
2012-05,107.0,434
2012-05,108.0,430
2012-05,109.0,684
2012-05,110.0,516
2012-05,111.0,225
2012-05,112.0,340
2012-05,113.0,870
2012-05,114.0,775
2012-05,115.0,620
2012-06,100.0,247
2012-06,101.0,376
2012-06,102.0,561
2012-06,103.0,661
2012-06,104.0,664
2012-06,105.0,624
2012-06,106.0,543
2012-06,107.0,428
2012-06,108.0,414
2012-06,109.0,621
2012-06,110.0,560
2012-06,111.0,276
2012-06,112.0,317
2012-06,113.0,814
2012-06,114.0,829
2012-06,115.0,640
2012-07,100.0,289
2012-07,101.0,439
2012-07,102.0,622
2012-07,103.0,700
