YR_M,Staten Island Precinct,STATEN_ISLAND_precinct_Crime_Cnt
2012-01,120.0,944
2012-01,121.0,2
2012-01,122.0,643
2012-01,123.0,255
2012-02,120.0,999
2012-02,122.0,690
2012-02,123.0,288
2012-03,120.0,1118
2012-03,122.0,779
2012-03,123.0,279
2012-04,120.0,1026
2012-04,122.0,720
2012-04,123.0,261
2012-05,120.0,1024
2012-05,121.0,1
2012-05,122.0,808
2012-05,123.0,260
2012-06,120.0,998
2012-06,121.0,1
2012-06,122.0,735
2012-06,123.0,234
2012-07,120.0,1055
2012-07,122.0,704
2012-07,123.0,278
2012-08,120.0,980
2012-08,121.0,2
2012-08,122.0,753
2012-08,123.0,271
2012-09,120.0,1009
2012-09,121.0,2
2012-09,122.0,740
2012-09,123.0,276
2012-10,120.0,1025
2012-10,121.0,3
2012-10,122.0,785
2012-10,123.0,269
2012-11,120.0,798
2012-11,121.0,4
2012-11,122.0,562
2012-11,123.0,249
2012-12,120.0,923
2012-12,121.0,4
2012-12,122.0,618
2012-12,123.0,246
2013-01,120.0,946
2013-01,121.0,7
2013-01,122.0,608
2013-01,123.0,222
2013-02,120.0,710
2013-02,121.0,8
2013-02,122.0,513
2013-02,123.0,215
2013-03,120.0,847
2013-03,121.0,13
2013-03,122.0,650
2013-03,123.0,265
2013-04,120.0,886
2013-04,121.0,17
2013-04,122.0,601
2013-04,123.0,233
2013-05,120.0,940
2013-05,121.0,14
2013-05,122.0,658
2013-05,123.0,258
2013-06,120.0,872
2013-06,121.0,69
2013-06,122.0,712
2013-06,123.0,236
2013-07,120.0,686
2013-07,121.0,498
2013-07,122.0,512
2013-07,123.0,223
2013-08,120.0,714
2013-08,121.0,625
2013-08,122.0,509
2013-08,123.0,257
2013-09,120.0,812
2013-09,121.0,619
2013-09,122.0,503
2013-09,123.0,237
2013-10,120.0,754
2013-10,121.0,590
2013-10,122.0,527
2013-10,123.0,265
2013-11,120.0,645
2013-11,121.0,602
2013-11,122.0,470
2013-11,123.0,238
2013-12,120.0,689
2013-12,121.0,535
2013-12,122.0,422
2013-12,123.0,196
2014-01,120.0,616
2014-01,121.0,575
2014-01,122.0,416
2014-01,123.0,212
2014-02,120.0,551
2014-02,121.0,503
2014-02,122.0,309
2014-02,123.0,159
2014-03,120.0,663
2014-03,121.0,571
2014-03,122.0,439
2014-03,123.0,236
2014-04,120.0,646
2014-04,121.0,573
2014-04,122.0,451
2014-04,123.0,265
2014-05,120.0,690
2014-05,121.0,659
2014-05,122.0,494
2014-05,123.0,258
2014-06,120.0,721
2014-06,121.0,655
2014-06,122.0,492
2014-06,123.0,252
2014-07,120.0,616
2014-07,121.0,617
2014-07,122.0,451
2014-07,123.0,292
2014-08,120.0,643
2014-08,121.0,657
2014-08,122.0,523
2014-08,123.0,248
2014-09,120.0,677
2014-09,121.0,637
2014-09,122.0,465
2014-09,123.0,250
2014-10,120.0,680
2014-10,121.0,587
2014-10,122.0,424
2014-10,123.0,239
2014-11,120.0,598
